audiofilename,start,end,label:event
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_fe5a3795.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_ffc99cbc.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_7e7f07a7.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_2b25f97c.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_c32a7532.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_3ed4915a.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_9975f1be.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_fe0bd420.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_3950ae28.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_fa70bf38.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_afe0f02c.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_64085b45.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_1c00357b.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_781c8c76.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_7a914482.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_3f30f3fa.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_24ec6108.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_7f020eb1.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_750b84d8.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_fa6af285.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_d15bb883.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_94989fac.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_69177d01.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_ae769b90.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_1678eab8.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_4fe51814.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_f29aaa10.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_41415c41.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_8251da89.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_bb3db185.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_437f829c.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_ae69d4ce.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_a208e3d9.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_9391b9a1.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_dbb22595.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_671b9e6e.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_da3161e6.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_b4a3a2af.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_9bc46ad8.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_609fe432.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_55546dba.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_7fed2584.wav,0,10,0
/mnt/fscompute_shared/simulation_dataset/outputs/simulated_audio_ca50d4f4.wav,0,10,0
